进港流量,temp_c,wind_dir_sin,wind_dir_cos,wind_speed_mps,visibility_m,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,pressure_hpa,dewpoint_c,wind_gust_mps,is_peak_hours
21,24.5,0.9659258262890683,0.25881904510252074,2.5,7000.0,-0.730835964278124,0.6825531432186541,1.2246467991473532e-16,-1.0,1011.0,23.0,0.0,1
24,24.0,0.984807753012208,0.17364817766693041,2.0,7000.0,-0.5195839500354336,0.8544194045464886,1.2246467991473532e-16,-1.0,1011.0,23.0,0.0,1
21,24.0,0.984807753012208,0.17364817766693041,1.5,6000.0,-0.2697967711570252,0.962917287347799,1.2246467991473532e-16,-1.0,1011.5,23.0,0.0,1
25,25.5,0.9961946980917455,-0.08715574274765824,1.5,6000.0,-2.4492935982947064e-16,1.0,1.2246467991473532e-16,-1.0,1012.0,23.5,0.0,1
19,26.5,0.636078220277764,0.77162458338772,1.5,6000.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,1012.0,24.0,0.0,0
6,28.0,0.9396926207859083,0.3420201433256688,2.5,7999.5,0.2697967711570243,0.9629172873477994,-0.8660254037844385,-0.5000000000000004,1012.5,24.0,0.0,0
0,29.5,0.8191520442889918,0.573576436351046,2.5,9999.0,0.5195839500354336,0.8544194045464886,-0.8660254037844385,-0.5000000000000004,1013.0,24.0,0.0,0
1,30.5,0.9961946980917455,0.08715574274765814,2.5,9999.0,0.730835964278124,0.6825531432186541,-0.8660254037844385,-0.5000000000000004,1012.0,23.0,0.0,0
3,32.0,0.9961946980917455,0.08715574274765814,3.0,9999.0,0.8878852184023752,0.4600650377311522,-0.8660254037844385,-0.5000000000000004,1011.0,21.0,0.0,0
8,33.5,1.0,6.123233995736766e-17,2.0,9999.0,0.9790840876823229,0.20345601305263375,-0.8660254037844385,-0.5000000000000004,1010.0,20.0,0.0,0
3,33.0,0.5735764363510464,-0.8191520442889916,2.5,9999.0,0.9976687691905392,-0.06824241336467088,-0.8660254037844385,-0.5000000000000004,1009.0,19.0,0.0,0
1,33.5,0.5735764363510464,-0.8191520442889916,2.0,9999.0,0.9422609221188205,-0.33487961217098616,-0.8660254037844385,-0.5000000000000004,1009.0,19.0,0.0,1
14,33.0,0.90630778703665,-0.42261826174069933,2.5,9999.0,0.8169698930104421,-0.5766803221148671,-0.8660254037844385,-0.5000000000000004,1008.0,19.0,0.0,1
15,33.0,0.766044443118978,-0.6427876096865394,2.0,9999.0,0.631087944326053,-0.7757112907044197,-0.8660254037844385,-0.5000000000000004,1008.0,17.5,0.0,1
13,32.5,0.819152044288992,-0.5735764363510458,3.0,9999.0,0.3984010898462414,-0.917211301505453,-0.8660254037844385,-0.5000000000000004,1008.0,18.0,0.0,1
21,30.5,0.4226182617406995,-0.9063077870366499,5.0,9999.0,0.1361666490962471,-0.9906859460363306,-0.8660254037844385,-0.5000000000000004,1008.0,21.0,0.0,1
23,29.0,0.258819045102521,-0.9659258262890682,5.5,9999.0,-0.1361666490962464,-0.9906859460363308,-0.8660254037844385,-0.5000000000000004,1009.0,20.0,0.0,1
20,28.5,0.3420201433256689,-0.9396926207859083,3.5,9999.0,-0.39840108984624156,-0.9172113015054529,-0.8660254037844385,-0.5000000000000004,1009.5,20.0,0.0,1
23,28.0,0.4226182617406995,-0.9063077870366499,2.5,9999.0,-0.6310879443260528,-0.7757112907044198,-0.8660254037844385,-0.5000000000000004,1010.0,20.0,0.0,1
26,27.5,0.49999999999999994,-0.8660254037844387,3.5,9999.0,-0.816969893010442,-0.5766803221148672,-0.8660254037844385,-0.5000000000000004,1010.0,20.5,0.0,1
16,27.0,0.3420201433256689,-0.9396926207859083,5.0,9999.0,-0.9422609221188204,-0.3348796121709864,-0.8660254037844385,-0.5000000000000004,1010.0,21.0,0.0,1
24,27.0,0.3420201433256689,-0.9396926207859083,4.0,9999.0,-0.9976687691905393,-0.06824241336467046,-0.8660254037844385,-0.5000000000000004,1010.0,21.0,0.0,1
19,26.0,0.3420201433256689,-0.9396926207859083,4.0,9999.0,-0.979084087682323,0.2034560130526333,-0.8660254037844385,-0.5000000000000004,1009.0,21.5,0.0,1
